taskId;performed;employeeName;startTime; 
T1;1;Alin;961;
T2;1;Silviu;577;
T3;0;;;
T4;0;;;
T5;0;;;
T6;0;;;
T7;1;Silviu;490;
T8;1;Alin;909;
T9;0;;;
T10;1;Silviu;996;
T11;0;;;
T12;1;Alin;1017;
T13;0;;;
T14;0;;;
T15;0;;;
T16;0;;;
T17;1;Alin;855;
T18;0;;;
T19;0;;;
T20;1;Cosmin;780;
T21;1;Anca;557;
T22;0;;;
T23;0;;;
T24;0;;;
T25;1;Silviu;941;
T26;1;Ovidiu;780;
T27;1;Silviu;655;
T28;0;;;
T29;1;Radu;843;
T30;1;Viorel;780;
T31;0;;;
T32;1;Silviu;888;
T33;0;;;
T34;1;Anca;606;
T35;1;Alin;571;
T36;1;Mitica;537;
T37;0;;;
T38;1;Ovidiu;640;
T39;1;Cosmin;840;
T40;1;Viorel;656;
T41;0;;;
T42;0;;;
T43;1;Silviu;780;
T44;1;Viorel;832;
T45;0;;;
T46;1;Alin;618;
T47;1;Silviu;833;
T48;0;;;
T49;0;;;
T50;0;;;
T51;1;Radu;929;
T52;1;Cornel;577;
T53;1;Cornel;634;
T54;1;Anca;662;
T55;1;Ovidiu;584;
T56;1;Anca;490;
T57;1;Radu;780;
T58;0;;;
T59;1;Alin;780;
T60;0;;;
T61;1;Ovidiu;856;
T62;1;Cosmin;948;
T63;1;Radu;979;
T64;1;Cosmin;645;
T65;1;Cosmin;902;
T66;0;;;
T67;0;;;
T68;1;Florin;545;
T69;0;;;
T70;0;;;
T71;1;Florin;599;
T72;1;Anca;839;
T73;1;Nicoleta;820;
T74;0;;;
T75;1;Mitica;780;
T76;1;Florin;487;
T77;0;;;
T78;1;Cosmin;1013;
T79;1;Viorica;977;
T80;1;Anca;780;
T81;1;Miruna;631;
T82;1;Ovidiu;921;
T83;1;Cosmin;589;
T84;1;Viorel;583;
T85;0;;;
T86;1;Viorica;927;
T87;1;Costel;840;
T88;1;Mitica;828;
T89;0;;;
T90;1;Miruna;578;
T91;1;Camelia;628;
T92;0;;;
T93;1;Camelia;780;
T94;1;Mitica;630;
T95;1;Cornel;780;
T96;1;Radu;483;
T97;0;;;
T98;1;Viorica;607;
T99;1;Radu;625;
T100;1;Viorica;484;
T101;1;Costel;546;
T102;1;Florin;839;
T103;1;Camelia;933;
T104;1;Cosmin;538;
T105;1;Miruna;685;
T106;1;Florin;894;
T107;0;;;
T108;1;Ovidiu;500;
